"satisfaction"	"research"	"staffratio"	"services"	"entrance"	"completion"	"honours"	"jobprospect"	"total"
"Westminster"	69	0.5	16.4	800	249	77.5	51.5	54.1	321
"LeedsMetropolitan"	68	0.2	21.1	975	257	82.1	53	59.9	315
"Wolverhampton"	72	0.3	19	1078	204	73.4	44.6	60.9	313
"AngliaRuskin"	68	0.2	19.7	773	257	74.3	55.5	66.2	309
"Derby"	72	0.1	19.8	1091	231	76.5	46.6	54.9	307
"Middlesex"	70	0.5	23.4	1645	194	64.7	50.8	64.4	296
"Greenwich"	73	0.3	22.9	829	212	75.8	44.9	59.6	289
"UWCNNewport"	73	0.3	25.8	922	229	72.1	54.8	55.8	284
"Bolton"	75	0.3	19	697	213	56	53.5	59.1	282
"EastLondon"	70	0.4	21.6	1257	191	71.5	44.4	62.7	282
"ThamesValley"	73	0.2	20.6	827	197	63.6	50.4	59.7	273
"SouthamptonSolent"	70	0.1	21.4	1054	211	74.5	45.7	56.6	272
"BuckinghamshireNew"	68	0.1	20.3	1110	210	79.8	46.3	50.9	263
"LondonSouthBank"	71	0.3	25.2	829	179	69.4	53.7	63.2	253
"UniversityfortheCreativeArts"	66	0.5	24.3	1033	247	85.3	51.2	58.2	243
